"var_root";"sum";"mean";"weighted_mean";"weight_var";"sec_com"
"AC_TOE";1;0;0;NA;"sectors"
"ADJUST_IA_IA1";0;1;0;NA;"sectors"
"ADJUST_IA_KN";0;1;0;NA;"sectors"
"ADJUST_IA_SUBST";0;1;0;NA;"sectors"
"ADJUST_IA_YE";0;1;0;NA;"sectors"
"ADJUST_MARKUP";0;1;0;NA;"sectors"
"ADJUST_PEE_PE1";0;1;0;NA;"sectors"
"ADJUST_W_W1";0;1;0;NA;"sectors"
"ADJUST_W_W1WN1";0;1;0;NA;"sectors"
"ADJUST_W_WN";0;1;0;NA;"sectors"
"ADJUST_YCAP_Y";0;1;0;NA;"sectors"
"ADJUST_YE_Y";0;1;0;NA;"sectors"
"ADJUST0_CH";0;1;0;NA;"sectors"
"ADJUST0_F_E";0;1;0;NA;"sectors"
"ADJUST0_F_L";0;1;0;NA;"sectors"
"ADJUST0_F_MAT";0;1;0;NA;"sectors"
"ADJUST0_PY";0;1;0;NA;"sectors"
"ADJUST1_F_E";0;1;0;NA;"sectors"
"ADJUST1_F_L";0;1;0;NA;"sectors"
"ADJUST1_F_MAT";0;1;0;NA;"sectors"
"ADJUST1_PY";0;1;0;NA;"sectors"
"ADJUST2_F_E";0;1;0;NA;"sectors"
"ADJUST2_F_L";0;1;0;NA;"sectors"
"ADJUST2_F_MAT";0;1;0;NA;"sectors"
"ADJUST2_PY";0;1;0;NA;"sectors"
"ADJUST3_F_E";0;1;0;NA;"sectors"
"ADJUST3_F_L";0;1;0;NA;"sectors"
"ADJUST3_F_MAT";0;1;0;NA;"sectors"
"ADJUST3_PY";0;1;0;NA;"sectors"
"ADJUST6_CI";0;1;0;NA;"sectors"
"ADJUST6_CIM";0;1;0;NA;"sectors"
"ADJUST6_F_E";0;1;0;NA;"sectors"
"ADJUST6_F_K";0;1;0;NA;"sectors"
"ADJUST6_F_L";0;1;0;NA;"sectors"
"ADJUST6_F_MAT";0;1;0;NA;"sectors"
"ADJUST6_IM";0;1;0;NA;"sectors"
"C_E";0;0;1;"F_E";"sectors"
"C_K";0;0;1;"F_K";"sectors"
"C_L";0;0;1;"F_L";"sectors"
"C_MAT";0;0;1;"F_MAT";"sectors"
"CBIS_E";0;1;0;NA;"sectors"
"CI";1;0;0;NA;"sectors"
